label	story
0	As a Developer, I want to get a Data Package into Node, so that I can start using the data for doing analysis and visualizations.
0	As a site visitor, I want to know as soon as I visit what on earth Scrum is and why it needs an alliance, so that I don't bounce immediately oï¬€ the page.
1	As a user, I want to limit my search to a particular set of log books.
0	As a researcher, I want to promote/share my work through interactive maps, so that I can display the range and extent of my work graphically.
0	As a user, I want to have a spreadsheet hosted within the Neurohub Web page, so that I can edit and calculate costs collaboratively with others while working on the proposal.
0	Specifies the entity that withdrew consent
0	As a DAMS manager, I want to know what repository an object belongs to.
0	to create new derivative data from the original data
0	As an API User, I want to be able to understand if a user is an Administrator, So that I can offer functionality based on Platform Administration privileges.
0	As an archivist, I want to search images by rights.
0	As a Researcher, I want to get a Data Package into STATA in seconds, so that I can start using the data for doing analysis and visualizations.
0	As an Owner, I want to design an audit from the UI SME, so that I know the potential scope of the UI improvements want ed.
1	As a repository manager, I want to describe various facets of a collection, object, or object component that are not addressable via title, date, name, and subject entities.
0	As a researcher, I want to develop the user research protocol for internal workflows, so that we can begin testing against a CMS prototype.
1	Information about an individual's employment history
1	As a user researcher, I want to continue scheduling interviews for hypothesis #1, so that I can be prepared to test our first prototype.
0	As a library staff member, I want to upload large batches of items simultaneously, including descriptive metadata, so that I can offer service to authors efficiently.
0	As a Publisher, I want to tag datapackage to create a snapshot of data on the registry server, so that that consumers can refer to it.
0	As a site member who has read a teaser on the front page, I want to read the entire article so that I can finish articles that appeal to me.
0	As a Zooniverse admin, I want to perform automatic segmentation or localization of plankton in Plankton Portal.
1	As a administrator, I want to refund sponsorship money that was processed via stripe, so that people get their monies back.
1	As a moderator, I want to start a round by entering an item in a single multi-line text field, so that we can estimate it.
0	As a data manager, I want to know which kind of data types will be produced or collected, so that I can determine what basic support services and functionalities are required.
1	Personalisation of interfaces presented to the user
1	As a librarydiscoveryoperator, I want to harvest useful metadata from the repository via OAI, and continue to do so incrementally, so that I can make Cornell publications discoverable in my repository.
1	As a user, I want to be able to check transaction history and keep a record of it, so that I can go back when needed.
0	As an NSF employee, I want to schedule regular in-person check-ins, so that we can continue to communicate the goals of the project with our stakeholders.
1	Information relating to an individual's credit worthiness.
0	As a Developer, I want to customize an existing wizard for my specific type of data, so that I can give my users a great user experience.
0	As a ProspectiveApplicant, I want to research requirements and to select a service, so that I can find the relevant service and/or application type to initiate via the online portal.
1	As a Platform Administrator, I want to be able to Hide any dataset already added as Public, So that I can maintain Public/Hidden status for other users.
0	As a user, I want to use the tags that I use are part of a controlled vocabulary.
1	Information about an individual's offspring(s).
0	As a Developer, I want to get a Data Package into Python in seconds, so that I can start using the data for doing analysis and visualizations.
1	As an Applicant, I want to Check the Status of a transaction, so that I can understand where the provisioning of my service is in the process, such as information related to service levels, fees, plan review, permit, or inspection results.
0	As a user, I want to access the raw agency published files from FABS via USAspending.
1	As a researcher, I want to access files stored in my Neurohub workspace, using a network drive attached to my workstation.
0	As a Broker user, I want to submit records for individual recipients without receiving a DUNS error.
0	As a researcher,  I want to have the ability to interact with a revision control system so that I can keep track of changes to files over time.
1	As an OlderPerson, I want to be able to manage my privacy and data settings.
0	As a data curator, I want to upload a new version of an item that has changed, while still allowing old versions to be accessed.
0	As a DigitalRecords Archivist, I want to expose the descriptive record for each ETD item for re-use external to Fedora.
0	to move data from one location to another including deleting the original copy
1	As an app developer, I want to ensure that application redeployment fails if any of its datasets cannot be reconfigured.
0	As a site editor, I want to post information in a trainers-only section, so that only trainers see it.
0	Specifies policy regarding repetition or renewal of existing certification(s)
1	As a Data Publishing User, I want to be able to add a dataset in a Hidden state, So that I can work on a dataset before having it discoverable via OpenSpending user interfaces.
1	As a Staff member, I want to Perform a Completeness Review, so that I can validate when an application is complete and eligible for further technical review.
1	As a Publisher, I want to permanently delete a data package, so that that it no longer takes up storage space.
1	Personal data that can be used to track an individual or used as an identifier e.g. location or email
0	As a DAMS manager, I want to know what objects or object components are still under copyright and cannot be displayed without either a license or incurring risk.
1	As a FABS user, I want to make sure the historical data includes all necessary columns, so that the information in the database is correct.
0	As an OpenSpending Community Member, I want to have a blog that highlights any and all projects in the open fiscal space, So that I can relate to openspending.org as the central hub of fiscal openness.
0	As a collection curator, I want to see the scheduled records deletion date be displayed on the item and component pages.
0	As a patron, I want to know which reports/datasets are coming out when, so that I can access latest report/dataset.
1	As a member, I want to receive a reminder and a link, so that I can renew my membership.
1	As a Customer, I want to Request Inspection, so that a County inspector is assigned to perform an inspection of my project.
1	As a site admin, I want to see the results for each trainer and averages for the class, so that I can identify any outliers or possible problems.
0	As a Data Publishing User, I want to be able to import data in Excel, So that I do not have to convert data formats in order to use the data packager.
0	As a user, I want to download files directly from the search results page.
0	As a Platform administrator, I want to be able to translate the data types hierarchies of the Viewer while in embed mode, So that my users can understand the interface in their native language.
0	As a site editor, I want to maintain a FAQ section, so that support gets fewer easily answered questions.
0	As a authenticateduser, I want to find a link on the sponsorships page to become a $350 level sponsor, so that I can pay for and become a sponsor role.
0	As an archivist, I want to apply a license or rights statement, so that I know what I can do with a file.
1	Information about an individual's privacy preferences
0	As an API User, I want to be able to normalise measures by GDP, so I work with datasets in reference to their contextual constraints.
0	As a patron, I want to browse content by author or subject area to locate needed resources.
1	As a developer, I want to take a dataset offline, so that I can perform a long-running maintenance or migration procedure.
0	As a user, I want to make predicated links between files.
1	Information that describes an individual’s sexual life
0	As a batch submitter, I want to access documentation describing the folder ingest process.
0	As a user, I want to view and update an inventory of of the equipment and consumables that are present in the centre.
1	As an administrator, I want to allow users to log in using Active Directory credentials, so that I don't have to manage another set of usernames and passwords.
0	As a user, I want to search collections, objects, and object components by title.
0	As a Developer, I want to add the GTAS window data to the database, so that I can ensure the site is locked down during the GTAS submission period.
1	As an OlderPerson, I want to have ALFRED contact the nearest caregiver when I ask ALFRED for urgent help.
1	As a researcher, I want to share post-experiment write-ups with other researchers, so that others can more easily replicate my work.
0	As a UI designer, I want to move on to round 2 of Homepage edits, so that I can get approvals from leadership.
0	As a Staff member, I want to Assign a Hearing Date, so that I can present the application to the appropriate governing body within the timelines dictated by the relevant County rules and procedures.
0	As a team member, I want to have an updated acquisitions roadmap, so that I can plan accordingly.
0	As a CST, I want to pay an annual fee, so that my CST status is active.
1	As an Applicant, I want to Request a Plan Review Meeting, so that I can meet with the Plan Review Staff regarding the plan review.
1	Information about an individual's religion, religious inclinations, and religious history.
0	As a site visitor, I want to subscribe to an RSS feed of articles, so that I can read them without visiting the site.
1	As a DeveloperDataWrangler, I want to store my Data Package in GitHub and have it automatically stored into CKAN, so that I get a data API and my dataset is listed in a relevant catalog.
0	to consult or query data
1	As a collection curator, I want users to contact me directly from the repository to request access to restricted objects.
1	As an Applicant, I want to Modify my Application, so that I can successfully change information on an application.
0	As a researcher, I want to keyword search across all of an RF program officer's scanned diaries, rather than having to search each scanned diary segment separately, so that I can more efficiently locate diary entries relevant to my research.
1	As a Cornell faculty member, I want to search for the dissertations in the repository for which I have been a thesis committee member, to quickly find work by a former student.
0	As a DAMS manager, I want to know if copyrighted content has an applicable license.
1	As a recyclingfacility representative, I want to have access to user stats and schedules, so that I can adjust my hours and/or upgrade equipment and capacity in order to be able to accomodate larger amounts of recyclable materials.
1	As User, I want to be able to log in.
0	As an archivist, I want to create and edit a Collection Management subrecord.
0	Practices regarding selecting appropriate data protection and privacy measures as the 'default' in an activity or service
1	As an archivist, I want to create quality scans of images and documents, so that they can be reused.
0	As a site administrator, I want to set the listing fee per Other Course or Event, so that we have flexibility on what to charge in the future.
0	As a user, I want to view user documentation for the website, so that I know how to use the web app.
0	As a researcher, I want to know which topics are mandatory and similar in all DMPs, so that I can save time through quickly writing it.
0	Technical measures required/followed when processing data of the declared category
1	As an OlderPerson, I want to have ALFRED to initiate questions, but it should be in the domains of my interest such as cinema, exhibitions, cooking.
1	As a user, I want to update a single property of a dataset instance without knowing all other properties.
1	As a moderator, I want to browse through previous games, so that I can find the previous game I’m looking for.
1	As a trainee, I want to limit to one registration per day per authenticated user, so that we don't have duplicate spaces.
1	As an app developer, I want to tolerate existing datasets if their properties are different but compatible when creating a dataset as part of app deployment.
1	As a patron, I want to email system provider to report issues and ask questions.
0	As a user, I want to add a video to my article.
0	As a lab administrator, I want to create page templates with bespoke metadata fields.
1	As a Researcher, working with data in NetCDF, I want NetCDF integration, so that I can store my data in plaintext while still retaining its metadata.
0	As a user, I want the publish button in FABS to deactivate after I click it while the derivations are happening, so that I cannot click it multiple times for the same submission.
0	As a anonymoususer, I want to see a list of all the summits, so that I can determine which summit I might be interested and able to attend.
1	As an OlderPerson, I want to have my data stored directly on the phone.
0	As an OlderPerson, I want to have ALFRED to help to motivate me during the week to do exercise that should change daily, as the constant change motivates me.
1	As an administrator, I want to check that all data has the appropriate security level, so that I can demonstrate compliance.
1	Information relating to an individual's social media communication, including the communication itself and metadata.
1	As a user, I want to have the details of the workflow execution to be recorded in a neurohub log book while executing a workflow.
0	As a DAMS manager I want to know what collection(s) an object belongs to.
0	As a repository manager, I want to indicate if the component has a copyright status different than that of of the object as a whole.
0	As an OlderPerson, I want to use ALFRED to turn on/off the lights.
1	Indicates whether the processing ir part of or results in evaluation or scoring of an individual or their personal data
0	As a developer, I want to have a list of definitions for commonly used terms, so that everyone working on the project can understand each other more easily.
1	As a Staff member, I want to Record an Internal Note, so that I can share information with other Staff collaborating on the record.
0	As a data manager, I want to know which information is necessary to re-use the data, so that it can be checked whether all necessary information is available for researchers interested in re-using the data.
1	As an UnivITservice, I want to be able to export all data to a different system, so that I am not tied into one system which may not be the most appropriate at some point in the future.
1	As a dataset developer, I want to deploy a dataset type independent from any app and allow apps to create and use dataset instances of that type.
0	As a DAMS manager, I want to know when the copyright status for an object or object component is modified, either manually or automatically.
0	As a data manager, I want to know whether the DMP was approved, so that I can proceed with the required next steps.
1	As a user, I want to search and discover music based on my profile.
0	The purpose of Data Handling, from the purposes Taxonomy
1	As a Practitioner, I want to write an article for the site with a small graphic shown with the article showing my CSP or CST status, so that others know my certifications when reading.
1	Information an individual's sexual fetishes
1	As a data manager, I want to know whether the collected data depends on other data sets from my own or other institutions, so that I can ensure that these dependencies are maintained.
0	As a Consumer, I want to download a DataPackage's data one coherent SQLite database, so that that I can get it easily in one form.
0	As an IT staff member, I want to have an estimate of the produced data volume, so that I can plan the overall storage consumption.
0	As an OlderPerson, I want to have the wearables with integrated sensors to look good and not to be stigmatizing.
0	As a data manager, I want to know whether the data can be reproduced efficiently, so that I can determine whether and how the data has to be stored.
1	As a CMS administrator, I want to have roles, so that I can assign them to my users.
0	As a developer, I want to have the subdomain beta.nsf.gov be set up, so that I can deploy a beta site to it.
1	As a depositor, I want to manage and share “live” research data, so that whole project workflow is linked together.
0	As an OlderPerson, I want to use ALFRED for touristic walks and indications with explanations on historical and cultural sights.
0	As a anonymoususer, I want to see the schedule, so that I can plan my day and figure out where to go!.
1	As a attendee, I want to be added to a training waitlist, so that so they can be considered for a class.
1	As an Extension Educator, I want to have a place to store a variety of documents, presentations and data sets I've created, that doesn't require an extra step in making available on my own County/Region/Project site (i.e. a list or directory of materials there is automatically updated when placed in a central archive/repository).
0	As a publisher, I want to package reproducible steps to get a certain data state, so my methodology is transparent and can be rerun by others.
0	As an Archivist, I want to import Agent information from EAC-CPF records.
0	As a site visitor, I want to read current news on the home page, so that I stay current on agile news.
1	Information about things an individual has owned, rented, borrowed, possessed
0	As an archivist, I want to find files that cannot be made publicly available, so that I can easily access everything that's been digitized.
1	Information about an individual's tattoos
0	As a Publisher, I want to undelete the deleted data packages, so that that the deleted data packages is now visible again.
1	Information relating to a user's likes.
1	Information on an individual's criminal convictions.
0	As an Inspection Staff member, I want to Create an Inspection, so that I can schedule and assign the inspection.
0	As a library staff member, I want to be able to assign an item to more than one collection.
0	As an API User, I want to be able to use data to get results from multiple datasets, So that I can build user experiences based on more than one dataset more easily.
1	As an administrator, I want to assign RAC staff to different user groups, so that I can control read/write access.
0	As an Applicant, I want to Complete Building Development Project, so that I can receive any posted bond and/or obtain occupancy.
0	As an Agency user, I want FPDS data to be up-to-date daily.
1	Information about associations in a social network with other individuals, groups, or entities e.g. friend of a friend
0	As a researcher, I want to search by keyword, so that I can learn what already exists digitally and avoid placing additional duplication requests.
0	As a DigitalRecords Archivist, I want to view and download summary embargo metadata for all ETDs in the repository.
0	As a researcher, I want to know the date on which something was digitized, so that I know if it's been digitized since I last looked.
1	As a Zooniverse admin, I want to assess the probability/weight of a volunteer’s classification based on their experience.
0	As a Publisher, I want to sign up for a given pricing plan, so that that I am entitled to what it allows.
1	As a repository manager, I want to indicate subjects related to the collection.
0	As a MedicalCaregiver, I want to have videophone.
0	As a PI, I want to plan what kind of data I want to store, so that I can ensure it will be possible to store it.
0	As a site admin, I want to view all classes in a pending state, so that I can approve any that need to be approved.
0	As a site editor, I want to have some flexibility as to where things appear, so that I can accommodate different types of content.
1	As a developer, I want to have an easy way to read data from health sensors the user is wearing.
0	As an Archivist, I want to rearrange the Resource and/or Digital Object hierarchy using keyboard-based navigation.
1	As a anonymoususer, I want to view a list of user profiles, so that I know who is attending the conference.
0	As lab administrator, I want to have increased access to the system to support regular users.
1	As a Planning Staff member, I want to Evaluate Consistency with the Comprehensive Plan, so that I can complete my required review of a plan set and/or application.
0	As a Cornell faculty member, I want to see items I have deposited in the repository appear high up in Google search results, because that's my ticket to stardom.
0	As an archivist, I want to search within a repository for resource and accession and digital object records.
1	As a user researcher, I want to have the finalized OLPA task script, so that I can begin testing with internal users.
1	As a researcher, I want to upload files prior to having them attached to a log book page.
0	Research conducted in an academic context e.g. within universities
0	As a DB/IR administrator, I want to have the system recognize/categorize document type (e.g. historical report still published, expired historical report, single topic dataset, broad topic dataset, report with subtopic, computer file), so that report/dataset is processed and displayed properly.
0	to change the data withouth changing it into something else
0	As an OlderPerson, I want to have a very good battery for ALFRED so I can keep him on the whole day.
0	As a PI, I want to properly record all metadata, so that I can ensure proper running of the project in case of staff changes.
0	As a DAMS manager, I want to know, via preservation managers, of any object for which integrity or authenticity is in question or that has been updated to a more current file format.
0	As a DAMS manager, I want to indicate the source-capture information for a file where it is useful to do so.
1	As a dataset developer, I want to have the option of implementing a migration procedure that can be run after an upgrade of a dataset instance to a new version of it type.
0	As a anonymoususer, I want to see how many seats are left for the summit, so that I can make sure to register in-time to reserve my spot.
1	As a authenticateduser, I want to use a WYSIWYG editor for all long-form content, so that I don't have to know HTML to update my content.
0	As a team member, I want to understand how time off overlaps with plans around the user research.
0	As an OlderPerson, I want to have an ALFRED device that can be easily adapted for user that have hearing trouble.
0	As a repository manager, I want to view a dashboard statistics about collections size including a list of collections, the number of items and components in each, total storage consumed by each collection, visualization of deposit activity.
0	As a teachingfacultymember, I want to identify timely and relevant research suitable for use in my curriculum, and be notified of new research/content.
0	As a researcher, I want to generate structured citation data, so that so I can cite a file in a publication.
1	As a site member, I want to fill out an application to become a Certified Scrum Practitioner, so that I can earn that designation.
0	As a User , I want to authenticate using LDAP.
0	As a Staff member, I want to Remove a Hold, so that I can allow progression through the workflow or other actions in the system now that the issue has been resolved.
1	Information about an individual's DNA.
1	As a user, I want to upload my week's schedule, so that I can get recommendations for recycling centers that best fit my availability.
1	As a MedicalCaregiver, I want to have ALFRED to be able to determine the user's blood pressure.
0	As a Developer , I want the historical FPDS data loader to include both extracted historical data and FPDS feed data.
0	As a site visitor, I want to be able to read some of your articles, so that I can learn without first joining the site.
1	Information about an individual’s educational or professional career
0	Specifries the method by which consent can be/has been withdrawn
0	As a Developer , I want my domain models to be indexed properly, so that I can get validation results back in a reasonable amount of time.
0	As a user, I want to be able to browse by collections in the DAMS.
0	As an archivist, I want to view collection files, so that I can gain background information for processing a collection.
1	As a depositor, I want to place data under an embargo, so that my right of first use is protected, and I can fulfil my confidentiality responsibilities.
0	As a designer, I want to know what early indications of hypotheses might be, so that I can start planning for the first prototype.
0	As a crossdeptprojteammember, I want to have a better place to collect and share project materials, with a range of organization/tagging and access options, including private (internal group use only), University and public.
1	Information about professional evaluations associated with an individual
0	As a patron, I want to select/deselect reports/datasets to be emailed, possibly many at one time, when new versions are available.
0	As an admin, I want to onboard recycling centers on the platform, so that I can increase information accuracy.
1	As a site administrator, I want to edit any site member profile, so that I can correct problems for members.
0	As a Publisher, I want to know what do next after signing up, so that that I can get going quickly.
1	As an OlderPerson, I want to do guided exercises with ALFRED and ALFRED should also use sensors to capture health data while I am doing exercises.
1	As a repository support team member, I want to move a collection, so that I can fulfill the collection owner's request.
0	As a DAMS manager, I want to know when the pertinence of a statute to a object or object component is scheduled to expire.
0	As an archivist, I want to search images by uploading an image, so that so I can find images when i don't have any metadata.
1	As a user, I want to have the option to tell Neurohub to push posted content to my Twitter feed at the same time.
0	As a authenticateduser, I want to view the job board, so that I can look for an interesting Drupal gig!.
0	As a user, I want to identify products in videos, and receive related information about them.
0	As an archivemanager, I want to know in advance the conservation period of data, so that I can better organize the service by adapting the preservation actions.
0	to spread data throughout
0	As a site admin, I want to delete any course or event, so that I can remove things that will no longer occur.
0	As a site visitor, I want to see a list of all upcoming Other Courses and can page through them if necessary, so that I can choose the best course for me.
1	As a data reuser, I want to search the archive through Primo , so that I can search books, articles and data all in one place.
1	As a Visitor, I want to sign up via github or google, so that that I don't have to enter lots of information and remember my password for yet another website.
1	As a user,  I want to have the ability to change the sharing and ownership of multiple files.
0	As a Data Publishing User, I want to have the Packager support Constants, So that I can model dimensions that may not exist in the source file.
1	Information communicated from or to an individual
0	The entities that can access the result of a data handling action/processing, any legal entity that is defined by article 4.9 of GDPR, which states - 'recipient' means a natural or legal person, public authority, agency or another body, to which the personal data are disclosed, whether a third party or not.
1	As an externalcoordinator, I want to have guarantees that my IP rights will not be breached, so that the risk of collaborating with Bath is acceptable to me.
0	As a stakeholder, I want to have files adequately described, so that I can successfully render them in my contemporary operating environment.
1	As a user, I want to be able to give my email ID, so that I can receive notifications for new events as they are posted.
1	As a moderator, I want to edit an item in the list of items to be estimated, so that I can make it better reflect the team's understanding of the item.
0	As a Publisher, I want to preview a datapackage I have prepared, so that that I can check it works and share the results.
0	As a patron, I want to view/upload content in multiple formats, including old formats such as Lotus Works.
0	As an administrator, I want to be able to use systems such as Symplectic Elements and Activity Insight to properly track faculty scholarly output in the repositories, so that I can facilitate personnel decisions.
1	As a user, I want to limit my search results to one or more log book sections from one or more log books.
0	As a Developer, I want a DAT integration, so that I can integrate data-packaged data with pipelines that use DAT.
0	As a ResearcherPublisher, I want to specify the funding that contributed to the creation of a given dataset, so that funding agencies can identify the funding, source for a given dataset.
1	As an archivist, I want to restrict access to some files by IP address, so that I can give reading room access only to certain digital files.
1	As a Staff member, I want to Perform a Staff Review, so that I can validate compliance of an application with the Zoning Ordinance and impact approval/denial of the application accordingly.
1	As an app developer, I want to ensure that application creation fails if any of its datasets cannot be created.
0	Information about friends of the individual in a social network. Includes aspects of friendships such as years together or nature of friendship.
1	As a User, I want to authenticate locally.
0	As a Publisher, I want to version my Data Package and keep multiple versions around including older versions, so that that I do not break consumer systems when I change my datapackage.
0	As an archivist, I want to automatically assign unique identifiers to material I scan, so that I avoid potential errors.
1	Information about an individual’s religious beliefs.
0	Technical and organisational measures, for instance security measure, storage restrictions etc. required/followed when processing data of the declared category
1	As a user, I want to disable explore for a dataset that was configured for explore initially.
1	As a user, I want to enable explore for a dataset that was not configured for explore initially.
1	As an OlderPerson, I want to receive a reminder from ALFRED on all the things I need to bring with me when I leave the house.
0	As a patron, I want to know previous name(s) and publication date range (first version-last version) of reports/datasets, so that I can know what historical versions are available and how current more recent version is.
0	As a user, I want to be able to select different types of recyclable waste, so I have and get a list of facilities that accept each type and their opening hours, so that I can find an optimal route and schedule.
0	As a Developer, I want to do exploratory data analysis in R and operationalize that analysis in Python, so that I can use the best tool for the job.
0	As a student, I want to learn who at Cornell has or is engaged in research related to a particular topic, so that I can find an appropriate advisor, choose which courses to enroll in, and identify work/internship opportunities.
0	As an archivist, I want to apply automatic contrast and level operations to a scanned file, so that I can eliminate unnecessary work.
1	An individual's Personal identification number (PIN) used in the process of authenticating the individual as a user accessing a system.
0	As a library staff member, I want to preserve the scholarship of the law school by using sustainable links that will not succumb to link rot, so that I can create a permanent digital archive for the scholarship of my institution.
0	As a Broker user, I want to Upload and Validate the error message to have accurate text.
0	As a Publisher, I want to publish a data package in the UI, so that that it is available and published.
1	As a researcher, I want to have any data that I have written to the VRE to be protected from modification or deletion, so that original data can always be traced back to an experiment and a point in time.
1	As a research facility manager, I want to deposit data from my facility directly into the archive on behalf of researchers, so that I am no longer required to maintain my own archive of facility data and researchers can access their own data as needed.
0	As a repository manager, I want to list all the components, in their appropriate order, for an object.
0	Optimization of service or activity
0	As a developer, I want an DSpace integration, so that I can integrate data-packaged data with pipelines that use Dspace.
0	to come into possession or control of the data
1	As a depositor, I want to have a user interface that is familiar to me, so that I feel like all the University systems are joined up.
0	As an archivist, I want to perform contrast, level and other manipulations manually, so that I can improve on results from automated tools.
0	As a workshop attendee, I want to see a summary on major findings from the event.
0	As an agency user, I want the maximum length allowed for LegalEntityAddressLine3 to match Schema v1.1.
0	As a user, I want to get info about similar video items and segments.
1	Information about and including connections of an individual in a social network
1	As a anonymoususer, I want to fill out a user registration form, so that I can register for the camp and get an account on the website.
1	Information about an individual's intentions
0	As a DevOps engineer, I want New Relic to provide useful data across all applications.
0	As an owner, I want to remove a user as an owner, so that they are just a member and no longer have full control.
0	As a team member, I want to see the first iteration of beta up on cloud.gov.
0	As an archivist, I want to search index cards and other non-public finding aids, so that I can provide better research assistance.
1	As a moderator, I want to export a transcript of a game as a CSV file, so that I can further process the stories and estimates.
0	As an API user, I want to be able to change the colors of the embedded visualisations in my own platform, So that I can customize the visualisations.
0	As an Archivist, I want to import EAD files that were exported by the Archivists' Toolkit.
0	As a Planning Staff member, I want to Generate Planning-related Reports, so that I can access, analyze and/or export the needed information in the format I requested.
0	As a faculty member, I want to easily collect my publications -- both those within the repository and without -- into a single online access point, so that I can raise the profile of my work.
1	As a Publisher, I want to add type information to my data, so that it is more useful to others and can be used better with tools like visualization programs.
1	As a researcher, I want to share reports I've written, so that it is available to staff and researchers.
0	As a Consumer, I want to search based on description of data package, so that that I can find package which related to some key words.
1	As a participant, I want to immediately see that an estimate has been given by a specific estimator, so that I know who has already given an estimate and who we’re still waiting for.
0	As a researcher, I want to record research publications in the institutional repository or CRIS with DMP records, so that I can generate reports of research output resulting from a project.
1	As an Admin, I want to invite someone to join the platform, so that that they can start contributing or using data.
0	As a researcher, I want to have services to support the long term curation of data, so that I can be sure that data will not get 'lost' with the passage of time.
0	As a broker user, I want the historical FABS loader to derive fields, so that my agency codes are correct in the PublishedAwardFinancialAssistance table.
0	As a DigitalRecords Archivist, I want to have the repository to lift embargoes on the release date and set the access controls to the configuration set on item on that date.
1	As a user, I want to have a flexible pick up time, so that I can more conveniently use the website.
1	As a site visitor, I want to have articles that interest me and are easy to get to, so that I come to the site for my agile news and learning.
0	To improve the robustness and resilience of services
0	As a Consumer, I want to search data packages, so that that I can find the ones I want.
1	As a authenticateduser, I want to Enter payment information and have my card charged for an individual sponsorship, so that I can pay for an individual sponsorship.
1	As a user, I want to be able to access the site and do all the other stuffs on all of my electronic devices.
0	As a developer, I want to know what the three initial hypotheses are, so that I can plan work around development of prototypes.
0	As a Zooniverse admin, I want to detect important features such as areas of flooding, damage, temporary shelters, blocked roads etc in the satellite images.
1	As a attendee, I want to register for a summit, so that I can reserve my seat at the summit.
1	As a user, I want to contact the administrators, so that I can give feedback or ask for help.
1	As an externalcollaborator, I want to gain privileged access to data for projects in which I am involved, so that I can collaborate effectively.
1	As a user, I want to be able to use Unicode, so that I can use any language I like.
1	As a Publisher, I want to store my data quickly and easily online.
0	As a Zooniverse admin, I want to know whether I should interrupt a volunteer with text, an image, or a video.
1	As a user, I want to have that my Twitter Tweets to appear in Neurohub, so that other researchers in the centre can see what I am up to.
1	As an OlderPerson, I want to just press one button to call my caregiver.
1	As a summit coordinator, I want to see a list of attendees signed up for my summit, so that I can communicate with my attendees by email prior to the event.
0	As a user, I want to know what collection(s) an object belongs to.
0	As a summit coordinator, I want to list sponsors for my summit, so that I can make sure sponsors feel rewarded and will be interested in sponsoring in future years.
0	As a library staff member, I want to include supplementary files such as datasets, slideshows, etc. â€“ with DOIs for each, as needed â€“ when uploading a given work, so that I can provide a robust image of the work in question.
1	As a site member, I want to search for profiles based on a few fields, so that I can find others I might want to connect with.
1	Information about analysis of purchases made and money spent expressed as a habit e.g. monthly shopping trends
0	As a Website user, I want to access published FABS files, so that I can see the new files as they come in.
1	Information related to an individual's language.
0	As a MedicalCaregiver, I want to control if the user does the exercise correct.
1	As an Admin, I want to have a pricing plan and billing system, so that that I can charge users and make my platform sustainable.
1	Geographic information relating to an individual (e.g., home address)
1	As a researcher, I want to have information that will help me identify other faculty I might partner/collaborate with.
0	As a site visitor, I want to read FAQs, so that I can get quick answers.
0	As an employee, I want to access the route planning system during work, so that I can be guided through the neighbourhood.
0	As a user, I want to be able to limit my search to specified collection(s).
1	Information on the calls that an individual has made.
0	As a DigitalRecords Archivist, I want to have a method to batch ingest ETDs we receive from ProQuest.
0	Indicates whether the processing comprises of systematic monitoring of data subjects or their personal data
0	As an archivist, I want to rotate images, so that I can orient them correctly.
0	As a user researcher, I want to have the WIG prototype, so that I can finalize the second task script.
1	As a authenticateduser, I want to See a payment page to pay for my individual sponsorships as the third step of the registration process so that pay for my sponsorship.
0	As an owner, I only want zero-padded fields, so that I can justify padding.
1	As a researcher, I want to receive an alert of any unattached files that are in my workspace.
1	Information about an individual's physical height
0	As an archivist, I want to restrict a file from view.
0	As an Inspection Staff Supervisor, I want to Assign Inspections, so that I can make sure the appropriate Inspector receives the work.
